Month,RF,Mkt,Mkt-RF,SMB,HML,RMW,CMA
201301,0,5.57,5.57,0.56,0.95,-1.64,1.47
201302,0,1.29,1.29,-0.38,0.03,-0.69,0.48
201303,0,4.03,4.03,0.83,-0.3,0.17,1.31
201304,0,1.55,1.55,-2.3,0.62,0.07,0.47
201305,0,2.8,2.8,2.06,2.6,-1.66,-0.78
201306,0,-1.2,-1.2,1.35,-0.17,-0.44,-0.01
201307,0,5.65,5.65,1.8,0.56,-1.46,0.56
201308,0,-2.71,-2.71,-0.01,-2.78,0.62,-2.16
201309,0,3.77,3.77,2.67,-1.19,-0.73,-1.32
201310,0,4.18,4.18,-1.53,1.14,2.7,0.87
201311,0,3.12,3.12,1.33,0.24,0.14,0.05
201312,0,2.81,2.81,-0.53,-0.31,-0.52,0.07
201401,0,-3.32,-3.32,0.57,-2.09,-3.99,-1.4
201402,0,4.65,4.65,0.15,-0.4,-0.26,-0.41
201403,0,0.43,0.43,-1.17,5.09,2.16,1.9
201404,0,-0.19,-0.19,-4.15,1.14,3.48,1.07
201405,0,2.06,2.06,-1.89,-0.27,0.1,-1.08
201406,0,2.61,2.61,3.1,-0.74,-1.97,-1.91
201407,0,-2.04,-2.04,-4.25,0.01,0.94,0.47
201408,0,4.24,4.24,0.29,-0.59,-0.63,-0.7
201409,0,-1.97,-1.97,-3.79,-1.23,1.13,-0.51
201410,0,2.52,2.52,3.78,-1.7,-0.47,-0.16
201411,0,2.55,2.55,-2.31,-3,1.4,0.18
201412,0,-0.06,-0.06,2.88,2.07,-1.16,0.88
201501,0,-3.11,-3.11,-0.87,-3.48,1.67,-1.67
201502,0,6.13,6.13,0.2,-1.79,-1.07,-1.76
201503,0,-1.12,-1.12,3.04,-0.45,0.1,-0.51
201504,0,0.59,0.59,-3.03,1.85,-0.15,-0.49
201505,0,1.36,1.36,0.76,-1.37,-1.72,-0.75
201506,0,-1.53,-1.53,2.87,-0.79,0.5,-1.47
201507,0,1.54,1.54,-4.55,-4.12,0.04,-2.56
201508,0,-6.04,-6.04,0.4,2.66,0.76,1.25
201509,0,-3.08,-3.08,-2.78,0.53,1.81,-0.51
201510,0,7.75,7.75,-2.16,-0.07,0.82,0.43
201511,0,0.56,0.56,3.34,-0.5,-2.57,-1.1
201512,0.01,-2.16,-2.17,-2.99,-2.6,0.31,0.13
201601,0.01,-5.76,-5.77,-3.42,2.07,2.6,3.01
201602,0.02,-0.05,-0.07,0.95,-0.49,3.28,2.05
201603,0.02,6.98,6.96,1.1,1.16,0.81,-0.03
201604,0.01,0.93,0.92,1.16,3.28,-2.88,1.98
201605,0.01,1.79,1.78,-0.71,-1.81,-1.01,-2.55
201606,0.02,-0.03,-0.05,0.49,-1.47,1.19,1.92
201607,0.02,3.97,3.95,2.64,-1.11,1.33,-1.24
201608,0.02,0.52,0.5,1.72,3.34,-1.33,-0.39
201609,0.02,0.27,0.25,1.74,-1.49,-2.29,-0.09
201610,0.02,-2,-2.02,-4.01,4.16,1.19,0.24
201611,0.01,4.87,4.86,6.81,8.29,-0.1,3.7
201612,0.03,1.85,1.82,0.41,3.58,0.99,-0.3
201701,0.04,1.98,1.94,-1.28,-2.78,-0.01,-0.95
201702,0.04,3.61,3.57,-2.12,-1.79,0.78,-1.72
201703,0.03,0.2,0.17,0.78,-3.17,0.68,-1
201704,0.05,1.14,1.09,0.49,-1.87,2,-1.55
201705,0.06,1.12,1.06,-3.05,-3.78,1.21,-1.88
201706,0.06,0.84,0.78,2.48,1.35,-2.01,-0.07
201707,0.07,1.94,1.87,-1.59,-0.28,-0.71,-0.15
201708,0.09,0.25,0.16,-1.85,-2.24,0.28,-2.42
201709,0.09,2.6,2.51,4.84,3.03,-1.18,1.63
201710,0.09,2.34,2.25,-1.97,-0.05,1.04,-3.33
201711,0.08,3.2,3.12,-0.43,-0.05,3.12,0
201712,0.09,1.15,1.06,-1.04,0.14,0.65,1.65
201801,0.11,5.69,5.58,-3.15,-1.38,-0.5,-0.89
201802,0.11,-3.54,-3.65,0.32,-1.19,0.52,-2.25
201803,0.12,-2.23,-2.35,3.54,-0.12,-0.51,0
201804,0.14,0.43,0.29,0.97,0.54,-2.09,1.18
201805,0.14,2.79,2.65,4.72,-3.16,-1.95,-1.42
201806,0.14,0.62,0.48,0.86,-2.38,0.71,0.33
201807,0.16,3.35,3.19,-1.93,0.4,1.63,0.44
201808,0.16,3.6,3.44,0.65,-4.08,-0.28,-2.5
201809,0.15,0.21,0.06,-2.52,-1.3,0.59,1.24
201810,0.19,-7.49,-7.68,-4.51,3.44,0.87,3.45
201811,0.18,1.87,1.69,-0.82,0.25,-0.6,0.32
201812,0.19,-9.36,-9.55,-3.05,-1.47,-0.13,0.16
